Name MC MP
"Bitcoin (Биткоин)" 103,283,820,090,743 61%
"Ethereum (Эфириум)" 35,149,524,581,741 21%
"Tether (Тезер)" 9,618,281,239,695 6%
BNB 7,228,798,418,179 4%
"Solana (Солана)" 5,502,105,936,098 3%
USDC 2,810,828,564,559 2%
XRP 2,241,673,898,266 1%
"Toncoin (Тонкоин)" 1,626,332,185,093 1%
"Dogecoin (Догекоин)" 1,518,726,582,313 1%
"Cardano (Кардано)" 1,164,251,908,905 1%
